file=activity`t=2020-02-18 12:02:41`server_id=10001`rid=1000100000000008`activity_type=flash`activity=0
file=login`t=2020-02-18 12:02:43`server_id=10001`rid=1000100000000008`name=班瀛`account=gdc
file=task`t=2020-02-18 12:02:57`rid=1000100000000008`lv=1`server_id=10001`activity_id=1000001`action=1
file=task`t=2020-02-18 12:02:57`rid=1000100000000008`lv=1`server_id=10001`activity_id=1000001`action=2
file=logout`t=2020-02-18 12:03:02`server_id=10001`rid=1000100000000008`name=班瀛`account=gdc
file=online`t=2020-02-18 12:04:00`server_id=10001`num=0
file=online`t=2020-02-18 12:09:00`server_id=10001`num=0
file=online`t=2020-02-18 12:14:00`server_id=10001`num=0
file=online`t=2020-02-18 12:16:21`server_id=10001`num=0
service=ny`t=2020-02-18 12:16:37`server_id=10001`uid=0`rid=0`lv=0`role_desc=`system=xs_task`action=issue`a1=sys`a2=`a3=`a4=40`a5=1141000
file=online`t=2020-02-18 12:19:48`server_id=10001`num=0
service=ny`t=2020-02-18 12:20:04`server_id=10001`uid=0`rid=0`lv=0`role_desc=`system=xs_task`action=issue`a1=sys`a2=`a3=`a4=40`a5=1141000
file=online`t=2020-02-18 12:24:48`server_id=10001`num=0
file=online`t=2020-02-18 12:29:48`server_id=10001`num=0
file=online`t=2020-02-18 12:40:40`server_id=10001`num=0
service=ny`t=2020-02-18 12:40:56`server_id=10001`uid=0`rid=0`lv=0`role_desc=`system=xs_task`action=issue`a1=sys`a2=`a3=`a4=40`a5=1141000
file=online`t=2020-02-18 12:42:03`server_id=10001`num=0
service=ny`t=2020-02-18 12:42:20`server_id=10001`uid=0`rid=0`lv=0`role_desc=`system=xs_task`action=issue`a1=sys`a2=`a3=`a4=40`a5=1141000
file=login`t=2020-02-18 12:44:54`server_id=10001`rid=1000100000000008`name=班瀛`account=gdc
file=online`t=2020-02-18 12:47:03`server_id=10001`num=1
file=item_log`t=2020-02-18 12:49:34`server_id=10001`rid=1000100000000008`lv=1`activity_type=undefined`activity=undefined`state=1`item_type=55100`item_id=1000100000000077`item_num=100`coin_type=`coin_num=
file=item_log`t=2020-02-18 12:49:40`server_id=10001`rid=1000100000000008`lv=1`activity_type=1`activity=2`state=0`item_type=55100`item_id=1000100000000077`item_num=1`coin_type=`coin_num=
file=logout`t=2020-02-18 12:50:17`server_id=10001`rid=1000100000000008`name=班瀛`account=gdc
